"","BusinessTravel","Department","State","MaritalStatus","Attrition","OverTime","EducationField_Grouped","Ethnicity_Grouped","Gender_Grouped","JobRole_Grouped","Education","StockOptionLevel","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","WorkLifeBalance","ManagerRating","Age","DistanceFromHome..KM.","Salary","YearsSinceLastPromotion","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken"
"60","Some Travel","Sales","NY","Married","No","No","Business","White","Female","Sales","3","1","3","2","5","2","2",35,23,81389,7,2,0
"61","Some Travel","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","0","3","4","2","2","2",22,18,68743,3,1,2
"62","Some Travel","Technology","CA","Divorced","No","Yes","STEM","White","Male","Software Engineer","3","1","4","5","5","5","5",21,30,37164,3,1,0
"63","Frequent Traveller","Technology","NY","Married","No","No","Other","Asian","Male","AI/ML","2","1","5","3","2","4","4",34,25,39015,6,3,0
"64","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","1","0","5","3","3","4","4",48,25,47464,8,2,1
"65","Frequent Traveller","Technology","CA","Married","No","No","STEM","Mixed/Other","Female","AI/ML","4","2","3","3","2","2","3",28,38,87704,3,3,1
"66","Frequent Traveller","Human Resources","CA","Married","No","Yes","Other","Black","Male","HR","4","1","5","4","3","2","3",21,42,42303,2,1,1
"67","Some Travel","Technology","CA","Single","Yes","No","STEM","Mixed/Other","Other","AI/ML","3","0","5","4","3","4","4",24,23,100586,4,1,1
"68","Some Travel","Technology","IL","Married","No","Yes","STEM","White","Female","AI/ML","3","1","4","2","4","5","4",32,16,228427,1,2,3
"69","Some Travel","Technology","CA","Divorced","Yes","No","Business","Asian","Female","AI/ML","3","1","4","2","4","2","3",29,44,67578,0,1,0
"70","Some Travel","Technology","CA","Single","No","Yes","STEM","Black","Other","AI/ML","2","0","5","2","2","4","5",44,14,92634,9,2,1
"71","No Travel ","Technology","CA","Single","No","Yes","Other","White","Female","Software Engineer","4","0","4","5","5","3","2",25,28,68762,5,2,0
"72","Frequent Traveller","Technology","NY","Single","No","No","STEM","White","Male","AI/ML","2","0","5","3","2","4","3",25,35,28139,1,1,1
"73","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","3","1","5","5","2","4","4",31,21,127182,0,2,1
"74","Some Travel","Technology","NY","Married","No","No","Business","Mixed/Other","Female","Software Engineer","3","1","2","2","4","3","2",25,22,53271,5,3,1
"75","Frequent Traveller","Sales","NY","Single","No","Yes","Business","White","Male","Sales","2","1","3","3","4","2","5",19,14,74458,0,2,0
"76","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","4","0","4","4","3","5","2",24,5,100576,0,3,0
"77","Some Travel","Technology","CA","Single","No","No","STEM","Black","Female","Software Engineer","2","0","4","3","5","5","4",30,33,55485,9,2,1
"78","Some Travel","Technology","CA","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","4","2","5","4","4","5","3",24,16,82174,2,1,3
"79","No Travel ","Sales","CA","Divorced","No","No","Business","White","Female","Sales","4","2","3","2","4","4","4",24,30,28898,1,1,2
"80","Frequent Traveller","Technology","IL","Married","No","No","STEM","Asian","Male","Software Engineer","3","1","4","5","2","5","4",29,14,93591,10,2,3
"81","Some Travel","Sales","IL","Divorced","No","No","Business","Asian","Male","Sales","3","2","5","2","5","4","4",25,12,118048,4,2,3
"82","Some Travel","Sales","NY","Divorced","No","No","Business","White","Male","Sales","3","1","5","5","5","5","2",44,35,223619,2,2,0
"83","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","2","1","4","5","4","4","5",19,24,31014,1,1,3
"84","Some Travel","Technology","IL","Married","Yes","Yes","Other","Asian","Female","AI/ML","4","0","4","3","3","5","4",30,1,40285,1,1,0
"85","Some Travel","Technology","NY","Married","No","Yes","STEM","Black","Female","Management","1","0","3","3","5","4","5",25,13,168483,3,1,0
"86","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Software Engineer","4","1","4","4","3","3","4",22,40,66266,1,1,2
"87","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","4","2","4","4","5","2","4",27,31,120225,5,2,3
"88","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Other","AI/ML","2","1","3","3","4","5","2",34,12,44057,7,3,0
"89","Some Travel","Technology","IL","Divorced","No","No","STEM","White","Other","Software Engineer","3","1","5","4","3","4","4",37,3,48395,2,3,1
"90","Some Travel","Technology","CA","Single","Yes","No","STEM","Mixed/Other","Male","AI/ML","3","0","2","2","2","3","4",22,23,37021,1,2,1
"91","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","4","3","2","4","4",41,22,235812,2,1,1
"92","Some Travel","Technology","CA","Married","Yes","Yes","STEM","White","Male","Software Engineer","3","0","4","2","4","3","4",43,17,50946,7,1,1
"93","Some Travel","Sales","CA","Married","No","Yes","STEM","Mixed/Other","Male","Management","2","1","4","3","3","3","4",39,38,300299,7,3,3
"94","Frequent Traveller","Technology","NY","Divorced","No","No","STEM","Mixed/Other","Female","AI/ML","3","1","5","3","5","2","4",26,14,92778,6,3,0
"95","Some Travel","Sales","CA","Divorced","No","No","Business","Mixed/Other","Female","Sales","3","3","3","2","5","5","4",45,34,173037,9,3,1
"96","Some Travel","Technology","NY","Married","No","No","Business","Black","Male","Software Engineer","4","1","5","3","2","5","4",26,17,110761,5,1,1
"97","Some Travel","Sales","CA","Married","No","Yes","Business","Mixed/Other","Other","Sales","3","0","5","3","4","3","2",24,22,53530,3,3,0
"98","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Software Engineer","3","1","4","4","5","4","5",30,8,70771,9,3,0
"99","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","4","1","4","3","4","3","4",36,10,297181,2,3,1
"100","Frequent Traveller","Sales","CA","Single","Yes","No","STEM","White","Female","Sales","1","0","5","2","3","4","4",48,2,37124,8,2,1
"101","Some Travel","Technology","CA","Single","Yes","Yes","STEM","White","Female","Software Engineer","1","0","5","3","2","5","5",20,6,30714,1,3,0
"102","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","Software Engineer","4","1","3","4","5","5","2",35,36,59086,8,1,1
"103","Some Travel","Technology","IL","Married","No","No","STEM","White","Male","Management","3","0","3","3","4","2","4",37,29,513608,7,3,1
"104","No Travel ","Technology","CA","Married","No","No","STEM","Mixed/Other","Female","AI/ML","3","0","3","3","5","2","3",41,22,52581,8,1,0
"105","Some Travel","Technology","CA","Single","No","No","Business","Mixed/Other","Male","Software Engineer","3","0","5","5","2","2","3",36,10,189405,6,3,1
"106","Some Travel","Technology","NY","Married","No","Yes","STEM","White","Other","AI/ML","1","2","4","5","2","2","3",22,16,78467,1,3,0
"107","No Travel ","Sales","IL","Divorced","No","No","Business","White","Female","Sales","1","3","5","4","3","5","2",22,16,27053,2,2,0
"108","Frequent Traveller","Technology","NY","Divorced","Yes","No","STEM","White","Male","Software Engineer","3","3","4","2","2","3","2",24,15,139627,4,3,1
"109","Some Travel","Sales","NY","Single","No","No","Business","White","Female","Management","4","0","2","3","4","2","4",47,14,410970,5,1,1
"110","Some Travel","Sales","CA","Divorced","No","Yes","Business","Black","Female","Sales","3","1","4","4","2","1","4",38,13,240248,8,3,1
"111","No Travel ","Technology","IL","Divorced","No","Yes","STEM","White","Female","Software Engineer","1","1","4","5","4","2","3",36,35,356378,4,1,1
"112","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Other","AI/ML","3","2","4","2","3","3","4",27,4,60967,7,3,2
"113","Some Travel","Sales","CA","Single","Yes","No","Business","Black","Male","Sales","4","0","3","4","3","5","5",27,1,30870,2,3,1
"114","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","White","Female","Sales","2","0","3","4","5","3","2",34,15,173246,7,2,0
"115","Some Travel","Technology","NY","Single","Yes","No","Other","Mixed/Other","Female","Software Engineer","1","0","3","2","3","1","3",31,14,63482,1,3,0
"116","Some Travel","Sales","IL","Single","Yes","No","Business","Mixed/Other","Female","Sales","2","0","5","3","2","3","3",25,38,57018,0,2,0
"117","Some Travel","Sales","IL","Single","No","No","Business","Asian","Female","Sales","3","0","1","1","2","4","3",39,37,65612,8,3,3
"118","Some Travel","Sales","CA","Married","No","No","Business","Mixed/Other","Other","Sales","3","0","3","1","2","4","2",33,30,90726,5,1,2
"119","Frequent Traveller","Technology","IL","Single","No","No","STEM","Asian","Female","AI/ML","2","0","5","2","3","3","3",33,34,91407,9,2,2
"120","Some Travel","Sales","CA","Single","No","No","Business","White","Female","Sales","2","0","5","5","2","4","2",26,18,62868,4,1,0
"121","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","White","Female","Management","3","0","3","5","2","4","3",46,24,514945,7,3,1
"122","Some Travel","Technology","IL","Married","Yes","No","Business","White","Female","Management","3","0","1","3","1","4","3",38,10,303360,0,1,2
"123","Some Travel","Technology","CA","Single","No","No","STEM","Black","Female","Software Engineer","3","0","3","3","2","4","2",48,17,65860,7,3,1
"124","Some Travel","Sales","IL","Married","No","Yes","Business","White","Male","Sales","4","2","5","5","2","5","4",26,36,70455,1,2,2
"125","Some Travel","Sales","CA","Married","Yes","No","Business","Black","Male","Sales","4","3","3","3","4","4","2",24,21,85118,0,1,1
"126","Some Travel","Technology","NY","Single","Yes","Yes","STEM","Mixed/Other","Female","Software Engineer","3","0","3","5","4","2","3",26,37,26296,2,2,1
"127","Frequent Traveller","Technology","CA","Divorced","No","Yes","STEM","White","Male","Management","1","1","5","5","2","4","4",31,38,547204,8,2,1
"128","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","AI/ML","4","1","3","3","2","3","3",26,24,35757,4,2,1
"129","Some Travel","Sales","CA","Married","No","No","Business","Black","Female","Management","5","1","5","4","3","4","5",31,38,330940,3,1,0
"130","Frequent Traveller","Sales","NY","Single","Yes","Yes","Business","Mixed/Other","Female","Sales","3","0","5","5","3","2","2",22,19,22122,2,3,0
"131","Some Travel","Technology","CA","Married","No","No","STEM","Black","Male","AI/ML","3","1","4","3","3","3","4",30,19,53336,3,3,1
"132","Some Travel","Technology","NY","Single","No","Yes","STEM","White","Female","Software Engineer","3","0","2","3","1","1","4",25,9,39636,5,2,1
"133","Some Travel","Technology","CA","Divorced","No","Yes","STEM","Mixed/Other","Female","AI/ML","3","1","4","5","5","4","5",24,21,36862,4,2,1
"134","Some Travel","Technology","NY","Single","No","No","STEM","White","Male","Management","3","0","3","4","5","5","2",25,9,243908,4,3,2
"135","Some Travel","Technology","CA","Single","Yes","Yes","STEM","White","Female","Management","4","0","3","2","3","3","4",39,42,539998,0,2,1
"136","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","Software Engineer","2","0","3","3","4","2","5",40,38,380248,1,3,1
"137","Some Travel","Sales","CA","Married","Yes","No","Business","Mixed/Other","Male","Sales","1","1","4","2","4","4","5",26,22,87142,1,1,0
"138","Some Travel","Technology","CA","Married","No","Yes","STEM","Mixed/Other","Female","Management","4","2","4","5","4","2","3",26,37,107863,6,3,2
"139","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Male","Software Engineer","3","1","4","4","5","5","4",34,24,42721,3,2,0
"140","No Travel ","Technology","NY","Married","No","No","Business","Mixed/Other","Female","Software Engineer","4","2","4","4","2","3","3",25,27,28288,5,3,2
"141","Frequent Traveller","Technology","NY","Divorced","No","No","STEM","Mixed/Other","Male","AI/ML","2","2","5","4","5","5","3",49,43,248115,3,2,0
"142","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Male","Software Engineer","2","0","5","5","4","4","2",21,4,21158,1,2,1
"143","Some Travel","Technology","IL","Married","No","No","STEM","Mixed/Other","Other","AI/ML","4","1","5","5","4","4","3",40,30,145328,9,2,0
"144","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Software Engineer","3","2","3","4","4","4","3",27,42,33606,0,1,1
"145","Frequent Traveller","Technology","NY","Married","No","No","STEM","Mixed/Other","Other","Software Engineer","3","1","3","4","4","5","5",41,7,96632,8,1,2
"146","Some Travel","Sales","NY","Married","No","No","Business","White","Other","Sales","3","2","4","4","3","4","3",26,5,107966,6,1,0
"147","Frequent Traveller","Technology","CA","Married","Yes","Yes","STEM","Black","Female","Software Engineer","3","1","5","3","2","3","2",28,9,48930,6,1,0
"148","No Travel ","Sales","CA","Married","Yes","No","Other","Black","Female","Sales","4","0","4","2","2","5","3",21,6,43259,0,1,1
"149","Some Travel","Human Resources","CA","Married","No","No","HR","Mixed/Other","Male","HR","2","1","3","1","4","3","3",23,39,55805,3,3,0
"150","Some Travel","Human Resources","CA","Single","No","Yes","Business","Asian","Female","HR","4","0","3","2","3","3","2",35,18,132563,6,2,0
"151","Frequent Traveller","Technology","NY","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","3","0","4","2","3","4","5",23,34,43009,2,1,2
"152","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Other","Management","3","1","3","4","5","3","2",34,18,323488,1,1,2
"153","Some Travel","Sales","CA","Single","No","No","Business","White","Female","Sales","4","0","3","5","4","5","4",25,28,167051,4,2,1
"154","Frequent Traveller","Sales","CA","Married","No","No","Business","White","Male","Sales","3","3","3","5","5","2","4",28,29,327674,2,1,2
"155","Some Travel","Sales","CA","Married","No","No","Other","White","Male","Sales","2","1","5","5","4","3","3",23,1,65489,1,1,0
"156","Frequent Traveller","Technology","CA","Single","No","No","STEM","Mixed/Other","Female","AI/ML","3","0","4","4","2","5","3",35,28,222303,2,2,0
"157","Some Travel","Technology","CA","Married","No","Yes","STEM","Black","Male","Software Engineer","4","3","1","3","1","2","3",46,11,56608,5,1,1
"158","Some Travel","Technology","NY","Single","No","No","Other","Asian","Female","AI/ML","2","0","2","2","3","2","3",24,26,39048,4,2,1
"159","Some Travel","Technology","IL","Divorced","No","No","STEM","Asian","Female","Software Engineer","1","2","5","2","3","3","5",22,31,43588,3,1,1
"160","Some Travel","Technology","NY","Divorced","Yes","Yes","Business","White","Female","AI/ML","3","2","2","3","2","1","4",29,3,60388,3,1,2
"161","No Travel ","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","1","5","2","2","4","2",32,12,111294,9,2,0
"162","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Male","Software Engineer","4","1","4","1","2","3","3",24,44,61230,3,2,1
"163","Some Travel","Technology","NY","Married","No","No","STEM","Mixed/Other","Female","AI/ML","3","1","5","2","5","5","3",25,20,65642,4,3,2
"164","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Male","Management","3","2","3","4","5","2","2",50,43,339245,0,3,2
"165","Frequent Traveller","Human Resources","CA","Single","No","No","HR","Mixed/Other","Male","HR","1","0","4","3","3","4","5",41,39,79990,5,1,1
"166","Some Travel","Sales","CA","Single","Yes","No","Business","White","Other","Sales","1","1","3","3","5","2","5",19,29,29673,0,1,2
"167","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Management","3","0","3","4","3","2","5",25,13,211401,1,3,1
"168","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","1","2","3","3","3","1","3",28,6,47148,8,2,3
"169","Some Travel","Technology","IL","Single","No","No","Business","White","Male","AI/ML","1","0","5","2","5","5","3",20,27,27141,1,1,0
"170","Some Travel","Technology","CA","Single","No","No","STEM","White","Male","Management","3","0","5","5","5","4","3",42,28,380905,1,3,3
"171","Some Travel","Technology","CA","Married","No","No","STEM","Black","Male","Management","4","1","4","3","2","4","5",42,37,244114,7,2,1
"172","Some Travel","Technology","IL","Divorced","No","No","STEM","Asian","Male","Software Engineer","2","2","3","5","3","5","2",22,37,52314,3,1,1
"173","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Software Engineer","3","0","3","3","3","2","3",36,4,208338,10,1,1
"174","Some Travel","Sales","IL","Divorced","Yes","No","Business","Mixed/Other","Other","Sales","3","1","3","3","3","5","4",28,38,185380,5,3,2
"175","Some Travel","Sales","NY","Divorced","No","Yes","Business","Mixed/Other","Other","Sales","1","1","1","1","1","3","3",41,33,119592,8,2,0
"176","Some Travel","Sales","CA","Divorced","No","No","STEM","Asian","Female","Sales","3","1","5","3","3","5","3",27,36,173994,5,2,0
"177","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Male","Software Engineer","4","0","5","5","3","2","3",25,1,72840,6,2,1
"178","Some Travel","Technology","CA","Single","No","Yes","Other","White","Other","AI/ML","2","0","5","5","5","2","4",19,25,50352,1,2,1
"179","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Software Engineer","4","0","4","5","5","3","4",26,2,55565,6,2,0
"180","Some Travel","Technology","CA","Married","No","No","Business","Black","Male","AI/ML","1","1","4","2","4","2","3",40,22,38849,6,2,0
"181","Some Travel","Technology","CA","Divorced","No","Yes","STEM","Black","Male","Software Engineer","4","1","3","3","4","2","5",25,2,73825,4,1,0
"182","Some Travel","Sales","CA","Single","No","No","Business","Black","Male","Sales","2","0","3","5","4","2","3",26,16,113512,7,2,1
"183","Some Travel","Technology","IL","Married","No","No","STEM","Mixed/Other","Female","AI/ML","3","1","3","2","2","2","3",24,34,78242,3,3,1
"184","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Other","AI/ML","4","1","5","3","2","2","5",22,10,28953,1,1,0
"185","Some Travel","Technology","NY","Single","No","No","STEM","White","Female","Software Engineer","2","0","3","3","4","2","4",34,14,154405,7,3,2
"186","Frequent Traveller","Technology","NY","Single","No","No","STEM","Mixed/Other","Male","AI/ML","3","0","4","5","3","2","4",25,20,61054,1,2,1
"187","Some Travel","Technology","IL","Single","No","No","STEM","Black","Female","Software Engineer","4","0","5","2","4","4","4",33,40,181244,8,3,3
"188","Some Travel","Technology","NY","Divorced","No","No","STEM","Mixed/Other","Male","Software Engineer","3","1","3","4","4","4","3",26,41,47676,6,1,3
"189","Some Travel","Sales","CA","Divorced","No","Yes","Business","Mixed/Other","Male","Sales","5","1","4","3","2","3","4",27,27,45880,4,1,3
"190","Some Travel","Sales","CA","Divorced","No","No","STEM","Mixed/Other","Other","Sales","3","1","4","5","2","3","3",26,38,104898,5,2,1
"191","Some Travel","Technology","IL","Divorced","No","No","STEM","Black","Male","AI/ML","3","1","5","5","3","2","4",21,35,51682,3,2,1
"192","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Female","Software Engineer","4","1","5","2","3","3","4",27,40,112728,6,3,0
"193","Some Travel","Technology","CA","Single","No","No","STEM","Black","Male","Software Engineer","3","0","4","3","3","1","3",43,40,63511,7,2,0
"194","Some Travel","Sales","NY","Married","No","No","Business","White","Male","Sales","3","1","3","2","2","5","4",23,33,30477,3,1,1
"195","Some Travel","Technology","NY","Single","No","No","STEM","Mixed/Other","Female","AI/ML","4","0","3","3","3","5","4",35,8,272175,8,1,0
"196","No Travel ","Technology","NY","Divorced","No","No","Business","Mixed/Other","Female","Software Engineer","3","2","4","2","5","5","4",26,20,28751,6,2,0
"197","No Travel ","Sales","CA","Married","No","No","Business","Mixed/Other","Male","Sales","3","1","5","5","5","2","5",22,17,58270,1,2,0
"198","Frequent Traveller","Sales","CA","Married","Yes","Yes","Business","White","Other","Sales","4","1","3","2","4","4","4",29,31,100925,1,1,1
"199","Some Travel","Technology","CA","Single","No","Yes","STEM","Mixed/Other","Male","Software Engineer","3","0","4","4","2","4","3",27,44,45276,6,3,2
"200","Frequent Traveller","Technology","NY","Single","No","No","STEM","Mixed/Other","Male","Software Engineer","4","0","4","5","4","4","3",22,15,40115,3,1,0
