"","BusinessTravel","Department","State","MaritalStatus","Attrition","OverTime","EducationField_Grouped","Ethnicity_Grouped","Gender_Grouped","JobRole_Grouped","Education","StockOptionLevel","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","WorkLifeBalance","ManagerRating","Age","DistanceFromHome..KM.","Salary","YearsSinceLastPromotion","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken"
"131","Some Travel","Technology","CA","Married","No","No","STEM","Black","Male","AI/ML","3","1","4","3","3","3","4",30,19,53336,3,3,1
"132","Some Travel","Technology","NY","Single","No","Yes","STEM","White","Female","Software Engineer","3","0","2","3","1","1","4",25,9,39636,5,2,1
"135","Some Travel","Technology","CA","Single","Yes","Yes","STEM","White","Female","Management","4","0","3","2","3","3","4",39,42,539998,0,2,1
"136","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","Software Engineer","2","0","3","3","4","2","5",40,38,380248,1,3,1
"137","Some Travel","Sales","CA","Married","Yes","No","Business","Mixed/Other","Male","Sales","1","1","4","2","4","4","5",26,22,87142,1,1,0
"138","Some Travel","Technology","CA","Married","No","Yes","STEM","Mixed/Other","Female","Management","4","2","4","5","4","2","3",26,37,107863,6,3,2
"139","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Male","Software Engineer","3","1","4","4","5","5","4",34,24,42721,3,2,0
"140","No Travel ","Technology","NY","Married","No","No","Business","Mixed/Other","Female","Software Engineer","4","2","4","4","2","3","3",25,27,28288,5,3,2
"141","Frequent Traveller","Technology","NY","Divorced","No","No","STEM","Mixed/Other","Male","AI/ML","2","2","5","4","5","5","3",49,43,248115,3,2,0
"142","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Male","Software Engineer","2","0","5","5","4","4","2",21,4,21158,1,2,1
"144","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Software Engineer","3","2","3","4","4","4","3",27,42,33606,0,1,1
"145","Frequent Traveller","Technology","NY","Married","No","No","STEM","Mixed/Other","Other","Software Engineer","3","1","3","4","4","5","5",41,7,96632,8,1,2
"146","Some Travel","Sales","NY","Married","No","No","Business","White","Other","Sales","3","2","4","4","3","4","3",26,5,107966,6,1,0
"147","Frequent Traveller","Technology","CA","Married","Yes","Yes","STEM","Black","Female","Software Engineer","3","1","5","3","2","3","2",28,9,48930,6,1,0
"148","No Travel ","Sales","CA","Married","Yes","No","Other","Black","Female","Sales","4","0","4","2","2","5","3",21,6,43259,0,1,1
"149","Some Travel","Human Resources","CA","Married","No","No","HR","Mixed/Other","Male","HR","2","1","3","1","4","3","3",23,39,55805,3,3,0
"150","Some Travel","Human Resources","CA","Single","No","Yes","Business","Asian","Female","HR","4","0","3","2","3","3","2",35,18,132563,6,2,0
"151","Frequent Traveller","Technology","NY","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","3","0","4","2","3","4","5",23,34,43009,2,1,2
"152","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Other","Management","3","1","3","4","5","3","2",34,18,323488,1,1,2
"153","Some Travel","Sales","CA","Single","No","No","Business","White","Female","Sales","4","0","3","5","4","5","4",25,28,167051,4,2,1
"155","Some Travel","Sales","CA","Married","No","No","Other","White","Male","Sales","2","1","5","5","4","3","3",23,1,65489,1,1,0
"156","Frequent Traveller","Technology","CA","Single","No","No","STEM","Mixed/Other","Female","AI/ML","3","0","4","4","2","5","3",35,28,222303,2,2,0
"157","Some Travel","Technology","CA","Married","No","Yes","STEM","Black","Male","Software Engineer","4","3","1","3","1","2","3",46,11,56608,5,1,1
"158","Some Travel","Technology","NY","Single","No","No","Other","Asian","Female","AI/ML","2","0","2","2","3","2","3",24,26,39048,4,2,1
"159","Some Travel","Technology","IL","Divorced","No","No","STEM","Asian","Female","Software Engineer","1","2","5","2","3","3","5",22,31,43588,3,1,1
"160","Some Travel","Technology","NY","Divorced","Yes","Yes","Business","White","Female","AI/ML","3","2","2","3","2","1","4",29,3,60388,3,1,2
"161","No Travel ","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","4","1","5","2","2","4","2",32,12,111294,9,2,0
"162","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Male","Software Engineer","4","1","4","1","2","3","3",24,44,61230,3,2,1
"164","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Male","Management","3","2","3","4","5","2","2",50,43,339245,0,3,2
"165","Frequent Traveller","Human Resources","CA","Single","No","No","HR","Mixed/Other","Male","HR","1","0","4","3","3","4","5",41,39,79990,5,1,1
"167","Some Travel","Technology","IL","Married","No","No","STEM","White","Female","Management","3","0","3","4","3","2","5",25,13,211401,1,3,1
"168","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Female","Software Engineer","1","2","3","3","3","1","3",28,6,47148,8,2,3
"169","Some Travel","Technology","IL","Single","No","No","Business","White","Male","AI/ML","1","0","5","2","5","5","3",20,27,27141,1,1,0
"172","Some Travel","Technology","IL","Divorced","No","No","STEM","Asian","Male","Software Engineer","2","2","3","5","3","5","2",22,37,52314,3,1,1
"173","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Software Engineer","3","0","3","3","3","2","3",36,4,208338,10,1,1
"174","Some Travel","Sales","IL","Divorced","Yes","No","Business","Mixed/Other","Other","Sales","3","1","3","3","3","5","4",28,38,185380,5,3,2
"175","Some Travel","Sales","NY","Divorced","No","Yes","Business","Mixed/Other","Other","Sales","1","1","1","1","1","3","3",41,33,119592,8,2,0
"176","Some Travel","Sales","CA","Divorced","No","No","STEM","Asian","Female","Sales","3","1","5","3","3","5","3",27,36,173994,5,2,0
"177","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Male","Software Engineer","4","0","5","5","3","2","3",25,1,72840,6,2,1
"178","Some Travel","Technology","CA","Single","No","Yes","Other","White","Other","AI/ML","2","0","5","5","5","2","4",19,25,50352,1,2,1
"180","Some Travel","Technology","CA","Married","No","No","Business","Black","Male","AI/ML","1","1","4","2","4","2","3",40,22,38849,6,2,0
"182","Some Travel","Sales","CA","Single","No","No","Business","Black","Male","Sales","2","0","3","5","4","2","3",26,16,113512,7,2,1
"184","Some Travel","Technology","NY","Married","No","No","STEM","Asian","Other","AI/ML","4","1","5","3","2","2","5",22,10,28953,1,1,0
"185","Some Travel","Technology","NY","Single","No","No","STEM","White","Female","Software Engineer","2","0","3","3","4","2","4",34,14,154405,7,3,2
"187","Some Travel","Technology","IL","Single","No","No","STEM","Black","Female","Software Engineer","4","0","5","2","4","4","4",33,40,181244,8,3,3
"190","Some Travel","Sales","CA","Divorced","No","No","STEM","Mixed/Other","Other","Sales","3","1","4","5","2","3","3",26,38,104898,5,2,1
"191","Some Travel","Technology","IL","Divorced","No","No","STEM","Black","Male","AI/ML","3","1","5","5","3","2","4",21,35,51682,3,2,1
"192","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Female","Software Engineer","4","1","5","2","3","3","4",27,40,112728,6,3,0
"194","Some Travel","Sales","NY","Married","No","No","Business","White","Male","Sales","3","1","3","2","2","5","4",23,33,30477,3,1,1
"197","No Travel ","Sales","CA","Married","No","No","Business","Mixed/Other","Male","Sales","3","1","5","5","5","2","5",22,17,58270,1,2,0
"198","Frequent Traveller","Sales","CA","Married","Yes","Yes","Business","White","Other","Sales","4","1","3","2","4","4","4",29,31,100925,1,1,1
"199","Some Travel","Technology","CA","Single","No","Yes","STEM","Mixed/Other","Male","Software Engineer","3","0","4","4","2","4","3",27,44,45276,6,3,2
"200","Frequent Traveller","Technology","NY","Single","No","No","STEM","Mixed/Other","Male","Software Engineer","4","0","4","5","4","4","3",22,15,40115,3,1,0
"201","Some Travel","Sales","CA","Married","No","No","Business","Mixed/Other","Male","Sales","2","1","4","4","3","4","5",24,13,64852,5,2,0
"203","Some Travel","Technology","CA","Divorced","No","No","Business","Mixed/Other","Other","AI/ML","3","2","3","5","2","2","2",25,4,39456,5,1,0
"204","Some Travel","Technology","NY","Divorced","Yes","Yes","STEM","Black","Male","AI/ML","4","1","3","4","5","4","2",26,3,28952,0,3,2
"205","Some Travel","Technology","IL","Single","No","Yes","STEM","Black","Male","AI/ML","3","0","2","3","4","1","5",24,36,93015,2,3,1
"206","Some Travel","Sales","CA","Single","No","No","Business","Mixed/Other","Male","Sales","3","0","4","4","4","3","3",24,16,116132,4,2,0
"207","Some Travel","Technology","NY","Single","No","Yes","STEM","Mixed/Other","Female","AI/ML","5","0","5","4","4","5","5",47,5,133616,9,3,0
"208","No Travel ","Technology","CA","Single","No","No","Business","Asian","Female","AI/ML","2","0","4","1","3","4","4",27,34,30783,7,2,0
"209","No Travel ","Technology","NY","Married","No","No","STEM","White","Male","Management","1","2","3","2","2","2","3",24,19,115110,3,3,0
"211","Frequent Traveller","Sales","CA","Married","No","No","Business","Black","Female","Sales","2","1","3","4","2","3","4",35,43,46112,7,3,0
"212","Some Travel","Technology","CA","Divorced","No","No","STEM","Black","Other","Management","5","1","4","4","5","3","5",41,11,372980,2,3,1
"213","Frequent Traveller","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","4","0","4","4","4","2","3",38,2,58828,8,1,0
"214","Some Travel","Technology","NY","Single","Yes","No","STEM","White","Female","AI/ML","4","0","3","4","2","5","4",24,13,30117,1,1,1
"215","Some Travel","Sales","NY","Divorced","No","Yes","Business","White","Male","Sales","1","1","4","2","4","2","4",29,39,183768,3,2,1
"216","Some Travel","Sales","IL","Married","No","No","Business","White","Male","Sales","4","1","4","4","2","2","3",45,19,47326,10,1,2
"217","Some Travel","Sales","CA","Divorced","No","Yes","Business","White","Female","Sales","3","1","3","5","5","5","3",23,35,45518,3,3,3
"219","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","White","Other","AI/ML","4","0","5","3","4","2","4",45,17,123619,9,3,1
"221","Frequent Traveller","Technology","NY","Single","No","Yes","STEM","Mixed/Other","Female","Management","5","0","3","2","3","3","3",35,38,310285,4,1,1
"222","Some Travel","Technology","IL","Single","No","No","STEM","White","Male","Software Engineer","1","0","5","3","5","2","4",48,44,103198,9,1,0
"223","Some Travel","Technology","CA","Married","No","Yes","STEM","Mixed/Other","Other","Software Engineer","2","0","5","4","2","2","3",35,19,187372,1,2,1
"224","Some Travel","Technology","CA","Single","No","No","Business","White","Male","AI/ML","2","0","2","2","1","4","4",30,45,262409,9,2,1
"225","Some Travel","Technology","NY","Single","Yes","No","Business","Asian","Other","Software Engineer","3","0","5","3","5","2","3",23,7,28753,1,1,0
"226","Frequent Traveller","Sales","CA","Married","No","No","Business","White","Female","Sales","3","1","3","3","3","2","5",29,13,126008,2,1,0
"227","Some Travel","Sales","IL","Divorced","No","Yes","Business","Mixed/Other","Male","Sales","2","1","3","3","2","3","4",22,29,58992,3,1,1
"229","Some Travel","Technology","CA","Single","Yes","Yes","STEM","Mixed/Other","Male","AI/ML","3","0","5","3","3","4","3",22,3,34753,0,2,2
"230","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Female","Software Engineer","3","1","5","4","4","5","3",24,45,30390,2,2,0
"231","Some Travel","Sales","CA","Married","No","No","Business","White","Male","Management","3","0","5","4","5","5","2",44,21,426142,5,1,0
"232","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Male","Management","2","3","4","4","3","4","4",26,31,148211,6,3,0
"233","Some Travel","Sales","CA","Married","No","No","Business","Asian","Male","Management","5","1","4","2","1","3","2",36,13,432191,8,3,3
"234","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","Black","Male","Software Engineer","3","0","3","4","5","2","3",44,18,102708,4,3,2
"235","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Software Engineer","4","3","3","2","3","5","3",24,12,22965,4,3,2
"236","Some Travel","Technology","CA","Single","Yes","Yes","Business","Mixed/Other","Male","AI/ML","3","0","5","5","5","5","4",23,25,37121,0,3,1
"237","Some Travel","Technology","CA","Married","No","No","Business","White","Other","Software Engineer","4","1","4","3","5","2","5",42,12,167089,9,3,0
"238","Frequent Traveller","Technology","CA","Married","Yes","Yes","STEM","Black","Female","AI/ML","3","1","4","2","1","1","3",29,17,105554,5,3,0
"239","Some Travel","Technology","NY","Single","No","Yes","STEM","White","Male","Software Engineer","5","0","5","4","2","5","3",24,23,92798,4,3,1
"241","Some Travel","Technology","CA","Divorced","No","No","STEM","Mixed/Other","Female","Management","2","1","5","3","2","3","2",27,30,240633,6,2,1
"242","Some Travel","Sales","IL","Divorced","No","No","Business","White","Female","Sales","5","1","4","2","4","2","4",30,27,102059,9,1,0
"243","Some Travel","Sales","NY","Married","No","Yes","Business","White","Male","Sales","2","3","3","2","5","5","4",23,44,100314,3,3,2
"244","Some Travel","Technology","NY","Married","No","No","STEM","White","Female","Software Engineer","2","1","3","3","4","2","2",43,21,94499,1,3,0
"245","Frequent Traveller","Technology","NY","Married","No","Yes","STEM","Black","Female","AI/ML","3","1","4","2","5","2","3",38,31,90187,5,3,0
"247","Frequent Traveller","Technology","CA","Married","No","No","Business","White","Male","Software Engineer","4","1","5","5","4","4","4",28,7,140538,5,3,1
"248","Some Travel","Technology","NY","Single","No","No","STEM","White","Female","Software Engineer","4","0","3","3","3","2","5",21,19,25114,1,1,0
"249","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Male","Software Engineer","2","1","5","5","5","2","3",21,33,37954,0,1,1
"251","Frequent Traveller","Technology","IL","Married","No","Yes","STEM","White","Female","Software Engineer","3","1","4","2","4","4","4",26,5,99203,3,2,1
"252","Some Travel","Technology","CA","Married","Yes","No","STEM","Mixed/Other","Female","AI/ML","2","1","5","5","2","4","4",37,6,42188,5,3,1
"253","No Travel ","Sales","CA","Single","Yes","Yes","Business","White","Male","Sales","3","0","2","1","2","1","3",24,8,82405,4,3,3
